Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-02,IDFCFIRSTB,EQ,44.25,44.6,44.8,43.6,44.25,44.4,44.26,8480158,37530565055000.0,12411,2434334,0.2871
2019-07-03,IDFCFIRSTB,EQ,44.4,44.45,45.35,44.2,44.9,44.95,44.72,8489217,37960736715000.0,14829,2808365,0.3308
2019-07-04,IDFCFIRSTB,EQ,44.95,45.25,45.75,44.7,45.1,45.0,45.19,9291774,41990836830000.0,14881,2683494,0.2888
2019-07-05,IDFCFIRSTB,EQ,45.0,45.2,45.2,43.2,43.3,43.4,44.09,10220173,45065000985000.0,16187,2795132,0.2735
2019-07-08,IDFCFIRSTB,EQ,43.4,43.1,43.45,41.8,42.1,42.1,42.53,10423871,44330428665000.0,19296,3959432,0.37979999999999997
2019-07-09,IDFCFIRSTB,EQ,42.1,42.0,43.25,40.3,42.95,42.95,42.46,9672354,41071085925000.0,15293,2049331,0.2119
2019-07-10,IDFCFIRSTB,EQ,42.95,42.85,43.5,42.3,42.75,42.65,42.86,9916305,42498514435000.0,17248,3686717,0.3718
2019-07-11,IDFCFIRSTB,EQ,42.65,43.15,43.15,42.4,42.75,42.75,42.73,5974172,25530212945000.0,12501,2191013,0.3667
2019-07-12,IDFCFIRSTB,EQ,42.75,42.85,43.3,42.45,43.2,43.1,42.96,6245648,26833672235000.0,8600,2751297,0.4405
2019-07-15,IDFCFIRSTB,EQ,43.1,43.0,43.25,41.95,42.3,42.35,42.32,8494747,35951981670000.0,12647,3284994,0.38670000000000004
2019-07-16,IDFCFIRSTB,EQ,42.35,42.4,42.5,41.75,42.1,42.05,42.09,7672664,32290423620000.0,11913,3266415,0.4257
2019-07-17,IDFCFIRSTB,EQ,42.05,42.15,43.4,42.05,43.1,43.2,42.86,9498592,40707375250000.0,12717,3091186,0.3254
2019-07-18,IDFCFIRSTB,EQ,43.2,42.9,43.0,41.6,41.8,41.8,42.03,11022699,46332148225000.0,16391,4994343,0.45310000000000006
2019-07-19,IDFCFIRSTB,EQ,41.8,41.95,42.2,40.0,40.25,40.25,40.79,12143838,49533706580000.0,24952,5512899,0.454
2019-07-22,IDFCFIRSTB,EQ,40.25,40.15,40.5,39.4,40.05,40.15,39.83,15301508,60946297790000.0,20404,6398962,0.4182
2019-07-23,IDFCFIRSTB,EQ,40.15,40.3,40.5,38.9,39.0,39.05,39.52,19318481,76344626755000.0,27329,8842280,0.45770000000000005
2019-07-24,IDFCFIRSTB,EQ,39.05,38.85,39.0,37.3,37.6,37.6,38.0,24522959,93199065190000.0,35458,10457788,0.4264
2019-07-25,IDFCFIRSTB,EQ,37.6,37.0,40.3,36.0,39.0,38.95,38.65,57402700,221851793165000.0,87801,12731293,0.2218
2019-07-26,IDFCFIRSTB,EQ,38.95,38.55,42.95,38.55,42.4,42.35,41.62,43186274,179758539305000.0,61977,9361416,0.2168
2019-07-29,IDFCFIRSTB,EQ,42.35,42.6,42.6,41.2,41.5,41.5,41.64,12814840,53360502980000.0,23214,3375252,0.2634
2019-07-30,IDFCFIRSTB,EQ,41.5,41.55,41.95,39.6,39.7,39.8,40.37,15736314,63530434229999.99,31246,5571187,0.354
2019-07-31,IDFCFIRSTB,EQ,39.8,39.4,42.25,39.2,42.0,41.95,41.1,18874189,77573054840000.0,27368,6047404,0.3204
2019-08-01,IDFCFIRSTB,EQ,41.95,41.95,42.4,40.6,41.75,41.55,41.56,14217805,59083273390000.0,27031,3792677,0.2668
2019-08-02,IDFCFIRSTB,EQ,41.55,41.1,42.0,40.2,41.3,41.35,41.24,14145421,58331759579999.99,22684,2640465,0.18670000000000003
2019-08-05,IDFCFIRSTB,EQ,41.35,40.95,41.5,39.6,41.1,41.1,40.53,17114883,69359595365000.0,23681,5425989,0.317
2019-08-06,IDFCFIRSTB,EQ,41.1,40.85,41.9,40.7,41.55,41.7,41.54,10386246,43145936210000.0,25844,2469440,0.2378
2019-08-07,IDFCFIRSTB,EQ,41.7,41.55,42.5,41.1,41.15,41.35,41.95,13943998,58494027154999.99,20110,5367924,0.385
2019-08-08,IDFCFIRSTB,EQ,41.35,41.45,42.7,41.0,42.55,42.45,41.64,12322412,51309579675000.0,21077,4127117,0.33490000000000003
2019-08-09,IDFCFIRSTB,EQ,42.45,42.75,44.55,42.5,44.15,44.35,43.81,20393917,89346088785000.0,28744,8464324,0.41500000000000004
2019-08-13,IDFCFIRSTB,EQ,44.35,44.3,44.35,42.6,42.85,43.15,43.35,11314837,49052067310000.0,18002,4352232,0.3846
2019-08-14,IDFCFIRSTB,EQ,43.15,43.15,44.45,42.75,44.1,44.3,43.84,12784523,56052668060000.0,19750,4599090,0.3597
2019-08-16,IDFCFIRSTB,EQ,44.3,44.0,46.05,43.5,45.75,45.75,45.17,20583633,92971909385000.0,32372,5223566,0.25379999999999997
2019-08-19,IDFCFIRSTB,EQ,45.75,46.0,46.75,45.1,45.5,45.45,45.74,14219593,65045498615000.0,27594,4058318,0.2854
2019-08-20,IDFCFIRSTB,EQ,45.45,45.4,45.7,44.1,44.75,44.9,44.8,11037248,49449007695000.0,17146,3399038,0.308
2019-08-21,IDFCFIRSTB,EQ,44.9,44.75,44.8,43.3,43.45,43.45,43.67,12750198,55682269985000.0,19336,4758425,0.37320000000000003
2019-08-22,IDFCFIRSTB,EQ,43.45,43.35,43.4,42.4,43.05,43.0,43.03,17864835,76872160775000.0,22159,7864972,0.44020000000000004
2019-08-23,IDFCFIRSTB,EQ,43.0,43.0,44.0,41.7,43.35,43.5,43.12,17691784,76287851800000.0,21950,5843999,0.33030000000000004
2019-08-26,IDFCFIRSTB,EQ,43.5,44.0,44.6,42.5,43.5,43.3,43.19,20858682,90082278870000.0,27435,6797200,0.3259
2019-08-27,IDFCFIRSTB,EQ,43.3,43.9,44.2,43.1,43.2,43.25,43.57,15537047,67700436010000.0,27841,5919746,0.381
2019-08-28,IDFCFIRSTB,EQ,43.25,43.3,43.55,41.85,42.2,42.15,42.55,20933529,89079055265000.0,24754,9043057,0.43200000000000005
2019-08-29,IDFCFIRSTB,EQ,42.15,42.0,43.45,41.7,42.85,43.0,42.68,15200063,64869280454999.99,23284,4663248,0.3068
2019-08-30,IDFCFIRSTB,EQ,43.0,43.0,43.95,42.15,43.7,43.55,42.92,12953499,55591348720000.01,23018,5169664,0.39909999999999995
2019-09-03,IDFCFIRSTB,EQ,43.55,43.05,43.4,42.35,42.85,43.0,42.98,15600945,67060601845000.01,18810,8119540,0.5205
2019-09-04,IDFCFIRSTB,EQ,43.0,42.75,43.05,42.15,42.45,42.7,42.6,13115703,55874589010000.0,17102,4630567,0.3531
2019-09-05,IDFCFIRSTB,EQ,42.7,42.75,43.25,42.55,42.8,42.9,42.92,10716116,45991432455000.0,19466,4227258,0.3945
2019-09-06,IDFCFIRSTB,EQ,42.9,43.05,43.15,42.7,42.8,42.95,42.94,8867672,38077172885000.0,14622,3448603,0.3889
2019-09-09,IDFCFIRSTB,EQ,42.95,43.0,43.3,42.55,43.2,43.15,43.01,8626137,37097673990000.0,13728,3794064,0.43979999999999997
2019-09-11,IDFCFIRSTB,EQ,43.15,43.1,44.15,43.0,43.7,43.85,43.68,11140259,48664331400000.0,22943,5017544,0.4504
2019-09-12,IDFCFIRSTB,EQ,43.85,43.9,44.35,42.9,42.95,43.15,43.57,16907181,73670841155000.0,20927,8409631,0.4974
2019-09-13,IDFCFIRSTB,EQ,43.15,43.2,43.3,41.55,42.25,42.3,42.26,20845275,88101978355000.0,29569,9064929,0.4349
2019-09-16,IDFCFIRSTB,EQ,42.3,42.1,42.8,41.8,42.6,42.6,42.45,7712163,32741896935000.004,14663,3005523,0.3897
2019-09-17,IDFCFIRSTB,EQ,42.6,42.85,42.85,41.55,41.85,41.7,42.09,11163087,46982011725000.0,18414,5640186,0.5053
2019-09-18,IDFCFIRSTB,EQ,41.7,41.9,42.2,41.25,41.35,41.5,41.64,9805065,40827051750000.0,17393,3547767,0.3618
2019-09-19,IDFCFIRSTB,EQ,41.5,41.5,41.65,40.35,40.7,40.6,40.91,12177912,49817278680000.0,20911,6410817,0.5264
2019-09-20,IDFCFIRSTB,EQ,40.6,40.65,43.7,40.3,43.15,43.1,42.73,32542856,139061111850000.0,36185,16440864,0.5052000000000001
2019-09-23,IDFCFIRSTB,EQ,43.1,43.95,44.55,42.85,43.35,43.3,43.55,24304827,105849219730000.0,29565,8732878,0.3593
2019-09-24,IDFCFIRSTB,EQ,43.3,43.35,43.85,42.65,42.65,42.8,43.06,14046346,60490167490000.0,23361,4833605,0.34409999999999996
2019-09-25,IDFCFIRSTB,EQ,42.8,42.5,43.2,42.3,42.9,42.95,42.88,15191191,65145333615000.0,20916,6386155,0.4204
2019-09-26,IDFCFIRSTB,EQ,42.95,42.9,44.3,42.9,43.45,43.6,43.73,26349776,115220967034999.98,31742,12464542,0.473
2019-09-27,IDFCFIRSTB,EQ,43.6,43.6,43.65,42.2,42.35,42.5,42.93,11349639,48718712970000.0,20431,5527074,0.48700000000000004
2019-09-30,IDFCFIRSTB,EQ,42.5,42.55,42.75,39.4,40.2,40.2,40.79,29724442,121239398100000.0,43315,12241532,0.4118
